lecture_number,slide_number,marker,transcript
1,0,,"ऑपरेǑटंग ͧसèटम का पǐरचय
(Introduction to Operating Systems)
Ĥोफेसर चेèटर ǐरबेǐरयो
(Prof. Chester Rebeiro)
संगणक ͪव£ान एवं अनुĤयोग ͪवभाग
इंͫडयन इंèटȣɪयूट ऑफ टेÈनोलॉजी, मġास
åयाÉयान-01
पाɫयĐम का पǐरचय
नमèकारआपकाèवागतहैइंĚोडÈशनटूऑपरेǑटंगͧसèटम( Introduction to Operating
Systems ) कोस[ मɅ।यहएक8 सÜताहका​NPTEL कोस[ है, िजससेͩकमुÉयतः
èनातक/अंडरĒैजुएटकंÜयूटरसाइंसएंडइंजीǓनयǐरंगकेछाğ, इलेिÈĚकलएवंइलेÈĚॉǓनÈसके
छाğ इसके साथ हȣ साथ एमएससी कंÜयूटर साइंस के छाğ भी इस कोस[ से फायदा ले सकते हɇ।
इसकोस[ केͧलएपहलेसेआवæयकहैͩकआपकोसीĤोĒाͧमंग(C programming) भाषा/लɇÊवेज
कȧ बहुतअÍछेसेऔरमजबूतीसेजानकारȣ हो।मुÉयǾपसेहमलोग ͪवशेषतःफंÈशन
Üवाइंटर(function pointer) मɅ Üवाइंटस[ (pointers) काĤयोगकरɅगेसाथहȣ साथ“ͧलंकͧलèट”
(link list) और“Ěȣस” (trees) मɅ भी।इसकेसाथहȣ साथ“कंÜयूटरऑगȶनाइजेशनएंड
आͩक[ टेÈचर”/( Computer Organisation and Architecture) का£ानआवæयकहैमुÉयतः
मेमोरȣ संघटन और åयवèथापन जो एक कंÜयूटर ͧसèटम मɅ होता है।
इसकोस[ कामूãयांकनहोगािजसमɅ ͩकहरसÜताहĮेणीवारअसाइनमɅटͧमलɅगेऔरअंǓतम
सेमेèटरपरȣ¢ाभीहोगी।तोहमɅ ऑपरेǑटंगͧसèटमÈयɉ पढ़नाचाǑहए? OS याऑपरेǑटंग
ͧसèटमͩकसीभीकंÜयूटरͧसèटममɅ एकमह×वपूण[ भूͧमकाǓनभाताहै।यहएकͧसèटमका
एकमुÉयǑहèसाबनाताहै।इसकाĤयोगकंÜयूटरहाड[वेयरऔरऍिÜलकेशÛस, िजनकाये
उपयोगकरताहैउसकेसाथसंपक[ -पटल/इंटरफ़ेस(interface) मɅ होताहै।अतःमूलǾपसेOS
(ऑपरेǑटंगͧसèटम) माğ एकसॉÝटवेयरĤोĒामहैजोहमͧलखतेहɇ हालांͩकयहसामाÛय
ĤोĒामɉ से काफȧ अलग होता है।
जैसाͩक एकऑपरेǑटंगͧसèटमकेकोडमɅ आप बहुतसाराअसɅबलȣ लɇÊवेज(assembly
language) काकोडपाएंगेअतःयहͩकसीसामाÛयमानककोड(code) कȧ तरहनहȣंहोताहै, जो
ͩकहमͧलखतेहɇ।इसकेसाथहȣ साथआपदेखɅगेकȧ ऑपरेǑटंगͧसèटमकेकोडमɅ बहुतसारे
भागउपकरणɉ सेसीधेसंपक[ करनेकेͧलएĤयोगͩकएजातेहɇ।औरउपकरणɉ सेहमारामतलब
भौǓतक/हाड[वेयरउपकरणहɇ जैसेͩककȧ-बोड[, नेटवक[ औरइसीतरहसेऔरभी।सामाÛय
ĤोĒाàस(programs) औरएÜलȣकेशनस(applications) जोहमͧलखतेहɇ उसमɅ हमहाड[वेयर
उपकरणɉ से इस तरह सीधा संपक[ नहȣं करते हɇ।
ऑपरेǑटंगͧसèटमकेकोडकेͧलएदूसरामुÉयप¢ यहपातेहɇ ͩकऑपरेǑटंगͧसèटममɅ समय
एकमुÉयभूͧमकाǓनभाताहै।अतःसबकुछसमयपरहȣ Ǔनभ[रकरताहै।ऑपरेǑटंगͧसèटममɅ
सामाÛयतयासबकुछघटनाआधाǐरतहोगाऔरकोईभीĤǓतͩĐयातभीघǑटतहोगीजबकोई
घटनाहोगी। इसके पǐरणामèवǾपऑपरेǑटंगͧसèटममɅ ͫडबͬगंग(गलǓतयɉ कोदूर
करना)/(debugging) बहुतकǑठनहोगा।इसकेसाथहȣ साथऑपरेǑटंगͧसèटमकोडकाएक
बड़ाभागउसमाइĐोĤोसेसरपरआधाǐरतहोताहैजोउसकोͩĐयािÛवतकरताहै; Ĥोसेसरकȧ
अͬधकांश ͪवशेषताएं ऑपरेǑटंग ͧसèटम के ɮवारा उपयोग कȧ जाती हɇ।
अतःइसकोस[ कोहमलोगइंटेलx86 Ĥोसेसर(​Intel
x86 processor)
​कोÚयानमɅ रखतेहुए
पढ़Ʌगे।इसĤकारबहुतसारȣ ऑपरेǑटंगͧसèटमकȧ अवधारणाएंजोͩकहमलोगइसकोस[ मɅ
पढ़ɅगेवहइंटेलĤोसेसर(​Intel processor​) पǐरवारपरआधाǐरतहɉगी।यɮयͪपयहकहɅ ͩकइस
कोस[ मɅ जो अवधारणाएं हम पढ़Ʌगे वह अͬधकांश दूसरे Ĥोसेसस[ पर भी लागू हɉगी।
इसकोस[ मɅ हमलोगऑपरेǑटंगͧसèटमकेदूसरेपहलुओंपरभीनजरडालɅगे।मूलǾपसेहम
लोगऑपरेǑटंगͧसèटमरचनाकȧ बहुतसारȣ पेचीदͬगयɉ काͪवæलेषणकरɅगे, इसकेसाथहȣ साथ
åयवहाǐरक Ĥदश[न के संबंध मɅ èथाͪपत सामंजèय को भी। अतः इस कोस[ मɅ आपका èवागत है।"
2,0,,"ऑपरेǑटंग ͧसèटम का पǐरचय (Introduction to Operating Systems)
Ĥोफेसर चेèटर ǐरबेǐरयो (Prof. Chester Rebeiro)
संगणक ͪव£ान एवं अनुĤयोग ͪवभाग
इंͫडयन इंèटȣɪयूट ऑफ टेÈनोलॉजी, मġास
सÜताह – 01
åयाÉयान-01
ऑपरेǑटंग ͧसèटम (एक पǐरचय)
नमèकार, “ऑपरेǑटंगͧसèटमकापǐरचय”/“इंĚोडÈशनटूऑपरेǑटंगͧसèटम” (Introduction to
Operating Systems) ​पाɫयĐम/ कोस[ केĤथमसÜताहकेåयाÉयानमɅ आपकाèवागतहै।इस
सÜताहहमइसकोस[ काआधारबनाएंगेिजसपरआनेवालेसÜताहकेåयाÉयानǓनभ[रहɉगे| इस
åयाÉयानमɅ हमऑपरेǑटंगͧसèटमकाबहुतसं¢ेपमɅ पǐरचयलɅगे| मुÉयǾपसेहमलोगदेखɅगेͩक
पूरेकंÜयूटरमɅ ऑपरेǑटंगͧसèटमवाèतवमɅ कहांपरहोताहै, हमलोगदेखɅगेͩकऑपरेǑटंगͧसèटम
का कंÜयूटर मɅ मुÉय काय[ Èया है?"
2,1,(èलाइड समय का संदभ[ लɅ: 00:57),"इसͧलए, जबहमकंÜयूटरͧसèटमदेखतेहɇ, तोहमइसेͪवͧभÛनपरतɉ मɅ सोचसकतेहɇ।
िजसमɅ सबसेनीचेकȧ परतमɅ लाखɉ औरकरोड़ɉ Ěांिजèटरस(transistors) हɇ।यहĚांिजèटरस
(transistors) मुÉयतयासीमोसĚांिजèटरस/(CMOS transistors) हɇ औरयेĚांिजèटरसͧमलकरकई
सारेलॉिजकगेɪस(logic gates) बनातेहɇ, औरइनगेɪसमɅ कईसारेͫडिजटललॉिजकगेɪस(digital
logic gates) हɇ जैसेͩकएंड/AND गेट, ​ओआर /OR, ​एÈसओआर /XOR इ×याǑद।इससतहमɅ औरभी
ͪवशेषचीजɅ हɇ जैसेकȧ मेमोरȣ सेल(memory cell), िÝलपÝलॉप(flip-flop) औररिजèटर(register)
इ×याǑद।
अब, यहसारȣ मूलभूतवीएलइसआई(VLSI) इकाइयांͧमलकरकईǾपलेतीहɇ जैसेकȧ मेमोरȣ
(memory), रैम(RAM), ͫडकोडयूǓनट(Decode Unit), इंèĚÈशनफेचयूǓनट(Instruction Fetch
Unit) इ×याǑद।यहसंगठनजोͩककंÜयूटरͧसèटमकेतीसरेचरणमɅ है, िजसेहमवाèतवमɅ
भौǓतक-उपकरण/हाड[वेयरकेतौरपरदेखते/जानतेहɇ।तोयहवहभौǓतकयंğ हैिजसेͩकहमदुकान
सेखरȣदतेहɇ।जबहमइसकंÜयूटरहाड[वेयरकोखरȣदतेहɇ तोहमलोगइसमɅ बहुतसारȣ अलग-अलग
एÜलȣकेशंसकोͩĐयािÛवत/एÊजीÈयूट(execute) करतेहɇ, जैसेͩकहमऑͩफस(office), एÜलȣकेशंस
(applications) और इंटरनेट एÈसÜलोरर (Internet Explorer) को रख सकते हɇ।
अबजोइनएÜलȣकेशंसऔरहाड[वेयरकेबीचमɅ हैवहहैऑपरेǑटंगͧसèटम।अबअǓनवाय[ Ǿपसे
ऑपरेǑटंगͧसèटमदोनɉ काĤबंधनकरेगािजसमɅ एÜलȣकेशंस(applications) जोहमकंÜयूटरपर
ͩĐयािÛवत/एÊजीÈयूट(execute) करतेहɇ, इसकेसाथहȣ साथयहĤबंधनकरेगाकȧ ͩकसतरहसे
ͧसèटममɅ संसाधनɉ काउपयोगͩकयाजाए।तोआइएहमअͬधकͪवèतारसेदेखɅ ͩकपूरȣ योजनामɅ
ऑपरेǑटंग ͧसèटम का उपयोग ͩकस तरह से होता है?"
2,2,(èलाइड समय का संदभ[ लɅ: 02:51),"इसेåयापकǾपसेदेखनेकेͧलए, ऑपरेǑटंगͧसèटमदोचीजɉ केͧलएउपयोगͩकयाजाताहै।यह
पहलेहाड[वेयर पृथÈकरण/अबाèĚÈशन(abstraction) ĤदानकरताहैऔरदूसराͧसèटममɅ
संसाधनɉ काĤबंधनकरताहै।हाड[वेयरपृथÈकरण/अबाèĚÈशन(abstraction) काउपयोगहाड[वेयर
कोͩकसीऐसेचीजमɅ बदलनेकेͧलएͩकयाजाताहैजोसॉāटवेयरएिÜलकेशनआसानीसेउपयोग
करसकɅ , जबͩककंÜयूटरमɅ मौजूदसीͧमतसंसाधनɉ केकारणसंसाधनĤबंधनकȧ आवæयकताहोती
है। इसͧलए, हम ऑपरेǑटंग ͧसèटम के इन दो उपयोगɉ को अͬधक ͪवèतार से देखɅगे।"
2,3,(èलाइड समय का संदभ[ लɅ: 03:31),"आइएइसबहुतहȣ सरलĤोĒामसेशुǾ करɅ।तो, यहसीभाषा(C Language) मɅ ͧलखागयाएक
ĤोĒामहैऔरअǓनवाय[ ǾपसेयहमॉनीटरपरिèĚंग""हैलोवãड["" (Hello World) ͪĤंटकरनेजारहा
है।तो, यहएकबहुतहȣ सरलĤोĒामहैऔरअǓनवाय[ ǾपसेिèĚंग""हैलोवãड["" èमृǓतमɅ संĒहȣतहै
औरयहइससूचक/पॉइंटर(pointer) ​str ɮवाराइंͬगतͩकयाजाताहै।अब, printf इसपॉइंटर
(pointer) ​str कोबताएगाऔरपǐरणामèवǾपिèĚंगकोमॉनीटरपरͪĤंट/मुǑġतͩकयाजाएगा।अब,
सवालयहआताहैͩकमॉǓनटरपरिèĚंग(string) ͩकतनीसटȣकतासेĤदͧश[तहोताहै? िèĚंगĤाÜत
करने के ͧलए शाͧमल ĤͩĐया Èया है, जो मॉनीटर पर Ĥदͧश[त होने वालȣ मेमोरȣ मɅ संĒहȣत है?"
2,4,(èलाइड समय का संदभ[ लɅ: 04:25),"इसͧलए, वाèतवमɅ जबहमपूरȣ योजनाकोदेखतेहɇ, तोिèĚंग""हैलोवãड["" (“Hello World”) मुÉय
èमृǓतमɅ ͩकसीèमृǓतèथानमɅ मौजूदहोगीिजसेरैम(RAM) भीकहाजाताहै।अब, ĤोसेसरमɅ कुछ
ऐसेǓनदȶशहɇ, जोͩकमुÉयमेमोरȣ सेरिजèटरɉ मɅ बाइटɮवारािèĚंगबाइटकोपढ़ɅगेऔरͩफरउÛहɅ
वीͫडयोबफर(Video Buffer) मɅ िèĚंग""हैलोवãड["" (“Hello World”) कȧ ĤǓतͧलͪपबनानेके
साथ-साथअÛयͪवशेषताओंकोजोड़ाजाताहै, उदाहरणकेͧलए, Ĥदͧश[तहोनेकेͧलएिèĚंगकारंग,
कȧ तरहचीजɅ, मॉǓनटरपरएÈसवाईǓनदȶशांक(x y coordinates) जहां""हैलोवãड["" िèĚंगकोĤदͧश[त
करने कȧ आवæयकता होती है और अÛय मॉनीटर ͪवͧशçट ͪवशेषतायɅ जैसे ͩक गहराई और अÛय।
अब, यहिèĚंगिजसेवीͫडयोबफरमɅ कॉपी(copy) ͩकयागयाहैउसेतबĒाͩफÈसकाड[ ɮवारापढ़ा
जाताहैजोͩकइसेमॉǓनटरपरĤदͧश[तकरेगा।तो, यहएकमॉनीटरपरएकिèĚंग""हैलोवãड[""
Ĥदͧश[तकरनेकȧ पूरȣ ĤͩĐयाहै।तो, अबआपदेखɅगेͩकऐसाकरनाकाफȧ आसाननहȣंहै।यह
वाèतवमɅ काफȧ जǑटलऔरथकाऊहै।कãपनाकȧिजएͩकआपकेɮवाराͧलखेगएĤ×येक
काय[Đम/ĤोĒाम(program) केͧलएआपकोकोइनसभीचीजɉ कोकरनेकȧ आवæयकताहोजैसेतब
जैसेͩक, ""हैलोवãड["" (“Hello World”) कोमेमोरȣ मɅ कहाँसंĒǑहतͩकयागयाहैऔरͩफर, इसे
मॉनीटरपरकैसेĤदͧश[तͩकयाजाए, Ǔनदȶशांक(coordinates) कȧ गणनाकैसेकरनीहै, कैसेǓनǑद[çट
करɅ- रंग, गहराईऔरअÛयͪवशेषतायɅ औरĒाͩफÈसकाड[ परइसजानकारȣ कोवाèतवमɅ कैसेपास
ͩकया जाए और इसी तरह अÛय।
एकऔरपहलूयहहैͩकयहबहुतÏयादाहाड[वेयरपरǓनभ[रहै।इनचीजɉ मɅ सेͩकसीएकमɅ कोई
बदलाव; उदाहरणकेͧलए, यǑदĤोसेसरबदलताहैयाĒाͩफÈसकाड[ यामॉनीटरबदलताहैतोयह
काफȧ संभावनाहैͩककाय[Đमकामनहȣंकरेगा।उदाहरणकेͧलए, यǑदमॉनीटरबदलताहै, तोकुछ
ͪवशेषगुणहोसकतेहɇ िजÛहɅ नएमॉनीटरकेͧलएअलग-अलगǓनǑद[çटकरनाहोगायायǑद
ĒाͩफÈसकाड[ बदलताहै, तोशायदइसिèĚंग""हैलोवãड[ "" केͧलएǓनदȶशांक(coordinates) केͧलए,
जहांगहराईऔररंगसेटसेटͩकएजातेहɇ, अलगहɉगे।इसͧलए, ऑपरेǑटंगͧसèटमकेǒबना, Ĥ×येक
ĤोĒामरकोहाड[वेयरकेबारेमɅ सूêमजानकारȣ रखनीहोगी।अǓनवाय[ ǾपसेउÛहɅ यहजाननेकȧ
आवæयकताहोगीͩकͧसèटममɅ हाड[वेयरकाÈयाउपयोगͩकयाजाताहैऔरयहभीͩकहाड[वेयरके
बारे मɅ ͪवͧभÛन पहलुओं को एक दूसरे के साथ कैसे ͩफट ͩकया जाता है।"
2,5,(èलाइड समय का संदभ[ लɅ: 07:15),"तो, ऑपरेǑटंगͧसèटमअǓनवाय[ Ǿपसेपृथकता/ढकाव/अबèĚÈशन(Abstraction) Ĥदानकरतेहɇ।वे
उनऍिÜलकेशÛसकेबीचरहतेहɇ, िजÛहɅ हमͧलखतेहɇ औरहाड[वेयरकेबीच, औरहाड[वेयरकेसभी
बुǓनयादȣ तØयɉ सेऍिÜलकेशÛसकोपृथकरखतेहɇ।इसͧलए, इसprintf str जैसेएकसाधारणकथन
अंततःͧसèटमकॉलकेǾपमɅ जानेवालेͩकसीचीज़मɅ रहताहैजोऑपरेǑटंगͧसèटमकोǓनçपाǑदत
(execute) करनेकेͧलएǑĚगर(trigger) करेगा।ओएस(OS) तबĤबंͬधतकरेगाͩकमॉǓनटरपर
िèĚंग/शृंखला(string) ‘str’ कोकैसेĤदͧश[तͩकयाजाएगा।सबकुछजैसेͩक, रंगकोकैसेसेटͩकया
जानाचाǑहए, एÈसवाईǓनदȶशांक(x y coordinates) कैसेसेटͩकएजानेकȧ आवæयकताहैऔरइसी
तरहसबकुछऑपरेǑटंगͧसèटमɮवाराआंतǐरकǾपसेͩकयाजाएगा।तो, एकएÜलȣकेशनके
पǐरĤेêय से और ĤोĒामर के पǐरĤेêय से, इन सभी ͪववरणɉ को पृथक/अलग ͩकया गया है।
इसͧलए, जैसाͩकआपदेखɅगेͩकयहĤोĒाम(काय[Đम) लेखनकोबेहदआसानबनादेगा।इसͧलए,
ĤोĒामरकोअबहाड[वेयरकेबारेमɅ जानकारȣ नहȣंचाǑहए।एकदूसराफायदापुन:उपयोगकाय[¢मता
(reusable functionality) है।अǓनवाय[ ǾपसेऍिÜलकेशÛसऑपरेǑटंगͧसèटमकाय[¢मताकापुन:
उपयोगकरसकतेहɇ।तो, इसकामतलबयहहैͩकचूंͩकओएस(OS) ऍिÜलकेशÛससेहाड[वेयर
ͪववरणɉ कोपृथककरताहै, इसͧलएइसĤणालȣ मɅ ǓनçपाǑदतसभीएिÜलकेशनकेवलऑपरेǑटंग
ͧसèटम सुͪवधाओं का पुन: उपयोग कर सकते हɇ।
उदाहरणकेͧलए, printf काउपयोगकरनेवालाĤ×येकएिÜलकेशन(application) ऑपरेǑटंगͧसèटम
काआéवानकरेगाऔरओएस(OS), हाड[वेयरकेसाथसंचारèथाͪपत करनेकाकामरखेगा।
ऑपरेǑटंग ͧसèटम मɅ एक माğ मॉɬयूल है जो ͩक ͧसèटम पर ǓनçपाǑदत सभी
अनुĤयोगɉ/ऍिÜलकेशÛस(applications) के सभीͪĤंटफ(printf) कोसंभालताहै।तीसरालाभ
अंतरणीयता/ पोटȶǒबͧलटȣ (portability) है।अǓनवाय[ Ǿपसेइसकाअथ[ यहहैͩकजबहमएकĤोĒाम
ͧलखɅगेजोͩकͪĤंटफ(printf ) åयÈतåय/èटेटमɅटकȧ तरहकुछउपयोगकरताहै, तोहमवाèतवमɅ
इसबातसेपरेशाननहȣंहɉगेͩकइसेͩकसहाड[वेयरपरचलानाहै, उदाहरणकेͧलएयहडेèकटॉपया
एकसव[रयालैपटॉपयायǑदउͬचतǾपसेकमपाईल(compile) ͩकयाजानेपरकईएàबेडेड
ͫडवाइसɉ मɅ भी चल सकता है ।
इसͧलए, अंतǓन[ǑहतऑपरेǑटंगͧसèटमवाèतवमɅ ͪवͧभÛनहाड[वेयरकेबीचअंतरकोèथाͪपतकरɅगे,
जोउनमɅ मौजूदहɇ औरसाथहȣ, यहसुǓनिæचतकरɅगेͩकहाड[वेयरकेआधारपरयहͪĤंटफ(printf)
उͬचतǾपसेǓनçपाǑदतͩकयाजाएगा।इसͧलए, अǓनवाय[ Ǿपसेपोटȶǒबͧलटȣ (portability) केसाथ
हमजोहाͧसलकरतेहɇ वहयहहैͩक, हमɅ एिÜलकेशननहȣंबदलनेपड़Ʌगे, भलेहȣ अंतǓन[Ǒहतहाड[वेयर
मɅ पǐरवत[न हो जाये ।"
2,6,(èलाइड समय का संदभ[ लɅ: 10:12),"ऑपरेǑटंगͧसèटमकादूसराउपयोगसंसाधनĤबंधक(resource manager) केǾपमɅ है।डेèकटॉप
औरलैपटॉपजोआजहमउपयोगकरतेहɇ, वहांकईऍिÜलकेशÛसहɇ जोलगभगएकसाथचलतेहɇ।
उदाहरणकेͧलए, जबहमइंटरनेटĦाउज़करनेकेͧलएएकवेबĦाउज़रकाउपयोगकरɅगेऔर
लगभगएकहȣ समयमɅ, तभीहमउनकुछĤोĒामɉ कोभीकमॅपाइलकरɅगेजोहमनेͧलखेहɇ और
उÛहɅ ǓनçपाǑदत/एÈसेÈयूट(executing) भीकरɅगेयाहमलगभगउसीसमयèकाइपयापावरपॉइंट
एिÜलकेशन का उपयोग भी कर सकते हɇ ।
अब, तØययहहैͩकहमारेपासͧसèटमपरकईऍिÜलकेशÛसचलसकतेहɇ, लेͩकनअंतǓन[Ǒहत
हाड[वेयरसीͧमतहै।अǓनवाय[ Ǿपसे, हमारेपासकेवलएकहाड[वेयरहैिजसेकईऍिÜलकेशÛसको
लगभगएकसाथपूराकरनेकȧ आवæयकताहोतीहै।इसͧलए, ऑपरेǑटंगͧसèटमयहसुǓनिæचत
करता है ͩक कई सारȣ ऍिÜलकेशÛस एक हȣ हाड[वेयर को साझा करने मɅ स¢म हɉ ।"
2,7,(èलाइड समय का संदभ[ लɅ: 11:15),"अब, इसकंÜयूटरहाड[वेयरकेभीतर, ऑपरेǑटंगͧसèटमकेɮवाराĤबंͬधतकईअवयवहɇ; उदाहरणके
ͧलए, सीपीयू(CPU), èमृǓत/मेमोरȣ (Memory), नेटवक[ , हाड[ ͫडèक(hard disk) जैसेसैकÖडरȣ
èटोरेजͫडवाइस(secondary storage device), मॉनीटरआǑद।इसͧलए, आपकेकंÜयूटरकेभीतरइन
सभीघटकɉ कȧ एकसीͧमतराͧशहै।इसͧलए, आपकेपासआमतौरपरआपकेͧसèटममɅ लगभग2
या4 या8 CPU मौजूदहोसकतेहɇ, èमृǓत/मेमोरȣ (memory) भी4 या8 जीबी(GB) तकसीͧमतहो
सकती है। आपके पास आमतौर पर एक नेटवक[ काड[ या एक या दो हाड[ ͫडèक होती है, इ×याǑद ।
इसͧलए, ऑपरेǑटंगͧसèटमकोͧसèटममɅ मौजूदइनसभीͪवͧभÛनउपकरणɉ औरघटकɉ/अवयवɉ
को Ĥबंͬधत करने कȧ आवæयकता है और इन घटकɉ को लगभग एक साथ कई
अनुĤयोगɉ/ऍिÜलकेशÛस(applications) मɅ साझाकरनाहै।इसͧलए, ऑपरेǑटंगͧसèटमकȧ मददसे
हȣ , यहसंभवहोगाͩकएकाͬधकएिÜलकेशनइससीͧमतसंसाधनɉ कोसाझाकरɅ औरओएस(OS)
भीइसतरहसेबनायागयाहैͩकअनुĤयोगएक-दूसरेसेसुरͯ¢तहɇ।अǓनवाय[ Ǿपसे जहां
अंतǓन[ǑहतऑपरेǑटंगͧसèटमͫडज़ाइनͩकयागयाहै, वहइसतरहहैͩकͧसèटममɅ हरघटक/अवयव
का पया[Üत Ǿप से उपयोग होता रहे।"
2,8,(èलाइड समय का संदभ[ लɅ: 12:35),"तोएकउदाहरणलेतेहुएहमसीपीयू(CPU) परͪवचारकरɅ।इसͧलए, ͧसèटममɅ आमतौरपरएकया
दोसीपीयू(CPUs) होतेहɇ औरकईसारेऍिÜलकेशÛसउसCPU परǓनçपाǑदतहोतेहɇ।तो, ऑपरेǑटंग
ͧसèटमͩकसĤकारकईसारेअनुĤयोगɉ/ऍिÜलकेशÛस(applications) केबीचएकल/अकेलेसीपीयू
(CPU) कोसाझाकरताहै? इसͧलए, एकतरȣकाजोआमतौरपर70 केदशककेउƣराध[ और80 के
दशककेशुǽआतमɅ ऑपरेǑटंगͧसèटममɅ ͩकयागयाथा, उसमɅ एकएिÜलकेशनकोसमापनहोने
तकCPU परǓनçपाǑदत(execute) करनेकȧ अनुमǓतदेनाथाऔरͩफर, अगलाएिÜलकेशनशुǾ
करनाथा।उदाहरणकेͧलए, ĤोसेसरपरǓनçपाǑदतकरनेकेͧलएएिÜलकेशन-1 बनायागयाहैऔर
एिÜलकेशन-1 केǓनçपादनकोपूराहोनेकेबाद, केवलतभीएिÜलकेशन-2 कोशुǾ ͩकयाजासकता
है।
अब, ĤोसेसरपरͪवͧभÛनअनुĤयोगɉ/ऍिÜलकेशÛस(applications) केइसशेɬयूͧलंगकोओएस(OS)
ɮवाराĤबंͬधतͩकयाजाताहै।अब, ​ĐͧमकǾपसे​एकऐप(App) कोदूसरेएप(App) केसमापनके
पæचातĐमशःǓनçपाǑदतकरनेकȧ यहयोजनायɮयͪपऑपरेǑटंगͧसèटममɅ लागूकरनेकेͧलए
बहुतआसानहै, परÛतुयहचीजɉ कोकरनेकासबसेĤभावीतरȣकानहȣंहै।इसͧलए, जैसाͩकहमबाद
केवीͫडयोमɅ देखɅगे, हमदेखɅगेͩकइसͪवशेषतरȣकेसेएिÜलकेशनǓनçपाǑदतकरनेकेसाथÈया
समèयाएंहɇ औरहमदेखɅगेͩकआधुǓनकǑदनकेऑपरेǑटंगͧसèटमइसĤोसेसर(processor) को
अͬधक कुशल तरȣके से कैसे उपयोग करते हɇ।"
